Album,Release Date,Explicit,Song Title
Taylor Swift,2006-10-24,False,Tim McGraw
Taylor Swift,2006-10-24,False,Picture To Burn
Taylor Swift,2006-10-24,False,Teardrops On My Guitar - Radio Single Remix
Taylor Swift,2006-10-24,False,A Place in this World
Taylor Swift,2006-10-24,False,Cold As You
Taylor Swift,2006-10-24,False,The Outside
Taylor Swift,2006-10-24,False,Tied Together with a Smile
Taylor Swift,2006-10-24,False,Stay Beautiful
Taylor Swift,2006-10-24,False,Should've Said No
Taylor Swift,2006-10-24,False,Mary's Song (Oh My My My)
Taylor Swift,2006-10-24,False,Our Song
Taylor Swift,2006-10-24,False,I'm Only Me When I'm With You
Taylor Swift,2006-10-24,False,Invisible
Taylor Swift,2006-10-24,False,A Perfectly Good Heart
Taylor Swift,2006-10-24,False,Teardrops on My Guitar - Pop Version
1989 (Deluxe),2014-01-01,False,Welcome To New York
1989 (Deluxe),2014-01-01,False,Blank Space
1989 (Deluxe),2014-01-01,False,Style
1989 (Deluxe),2014-01-01,False,Out Of The Woods
1989 (Deluxe),2014-01-01,False,All You Had To Do Was Stay
1989 (Deluxe),2014-01-01,False,Shake It Off
1989 (Deluxe),2014-01-01,False,I Wish You Would
1989 (Deluxe),2014-01-01,False,Bad Blood
1989 (Deluxe),2014-01-01,False,Wildest Dreams
1989 (Deluxe),2014-01-01,False,How You Get The Girl
1989 (Deluxe),2014-01-01,False,This Love
1989 (Deluxe),2014-01-01,False,I Know Places
1989 (Deluxe),2014-01-01,False,Clean
1989 (Deluxe),2014-01-01,False,Wonderland
1989 (Deluxe),2014-01-01,False,You Are In Love
1989 (Deluxe),2014-01-01,False,New Romantics
1989 (Deluxe),2014-01-01,False,I Know Places - Voice Memo
1989 (Deluxe),2014-01-01,False,I Wish You Would - Voice Memo
1989 (Deluxe),2014-01-01,False,Blank Space - Voice Memo
reputation,2017-11-10,False,...Ready For It?
reputation,2017-11-10,False,End Game
reputation,2017-11-10,False,I Did Something Bad
reputation,2017-11-10,False,Don’t Blame Me
reputation,2017-11-10,False,Delicate
reputation,2017-11-10,False,Look What You Made Me Do
reputation,2017-11-10,False,So It Goes...
reputation,2017-11-10,False,Gorgeous
reputation,2017-11-10,False,Getaway Car
reputation,2017-11-10,False,King Of My Heart
reputation,2017-11-10,False,Dancing With Our Hands Tied
reputation,2017-11-10,False,Dress
reputation,2017-11-10,False,This Is Why We Can't Have Nice Things
reputation,2017-11-10,False,Call It What You Want
reputation,2017-11-10,False,New Year’s Day
Lover,2019-08-23,False,I Forgot That You Existed
Lover,2019-08-23,False,Cruel Summer
Lover,2019-08-23,False,Lover
Lover,2019-08-23,False,The Man
Lover,2019-08-23,False,The Archer
Lover,2019-08-23,False,I Think He Knows
Lover,2019-08-23,False,Miss Americana & The Heartbreak Prince
Lover,2019-08-23,False,Paper Rings
Lover,2019-08-23,False,Cornelia Street
Lover,2019-08-23,False,Death By A Thousand Cuts
Lover,2019-08-23,False,London Boy
Lover,2019-08-23,False,Soon You’ll Get Better (feat. The Chicks)
Lover,2019-08-23,False,False God
Lover,2019-08-23,False,You Need To Calm Down
Lover,2019-08-23,False,Afterglow
Lover,2019-08-23,False,ME! (feat. Brendon Urie of Panic! At The Disco)
Lover,2019-08-23,False,It’s Nice To Have A Friend
Lover,2019-08-23,False,Daylight
folklore (deluxe version),2020-08-18,True,the 1
folklore (deluxe version),2020-08-18,False,cardigan
folklore (deluxe version),2020-08-18,True,the last great american dynasty
folklore (deluxe version),2020-08-18,False,exile (feat. Bon Iver)
folklore (deluxe version),2020-08-18,False,my tears ricochet
folklore (deluxe version),2020-08-18,False,mirrorball
folklore (deluxe version),2020-08-18,False,seven
folklore (deluxe version),2020-08-18,False,august
folklore (deluxe version),2020-08-18,False,this is me trying
folklore (deluxe version),2020-08-18,False,illicit affairs
folklore (deluxe version),2020-08-18,False,invisible string
folklore (deluxe version),2020-08-18,True,mad woman
folklore (deluxe version),2020-08-18,False,epiphany
folklore (deluxe version),2020-08-18,True,betty
folklore (deluxe version),2020-08-18,True,peace
folklore (deluxe version),2020-08-18,False,hoax
folklore (deluxe version),2020-08-18,False,the lakes - bonus track
evermore (deluxe version),2021-01-07,False,willow
evermore (deluxe version),2021-01-07,True,champagne problems
evermore (deluxe version),2021-01-07,True,gold rush
evermore (deluxe version),2021-01-07,False,‘tis the damn season
evermore (deluxe version),2021-01-07,True,tolerate it
evermore (deluxe version),2021-01-07,False,"no body, no crime (feat. HAIM)"
evermore (deluxe version),2021-01-07,True,happiness
evermore (deluxe version),2021-01-07,False,dorothea
evermore (deluxe version),2021-01-07,False,coney island (feat. The National)
evermore (deluxe version),2021-01-07,True,ivy
evermore (deluxe version),2021-01-07,True,cowboy like me
evermore (deluxe version),2021-01-07,False,long story short
evermore (deluxe version),2021-01-07,False,marjorie
evermore (deluxe version),2021-01-07,False,closure
evermore (deluxe version),2021-01-07,False,evermore (feat. Bon Iver)
evermore (deluxe version),2021-01-07,False,right where you left me - bonus track
evermore (deluxe version),2021-01-07,False,it’s time to go - bonus track
Fearless (Taylor's Version),2021-04-09,False,Fearless (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Fifteen (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Love Story (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Hey Stephen (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,White Horse (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,You Belong With Me (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Breathe (feat. Colbie Caillat) (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Tell Me Why (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,You’re Not Sorry (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,The Way I Loved You (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Forever & Always (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,The Best Day (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Change (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Jump Then Fall (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Untouchable (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Forever & Always (Piano Version) (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Come In With The Rain (Taylor’s Version)
